CD_MUN,V17000001,V17000002,V17000003,V17000004,V17000005,V17000006,V17000007,V17000008,V17000009,V17000010,V17000011,V17000012,V17000013,V17000014,V17000015,V17000016,V17000017,V17000018,V17000019,V17000020,V17000021,V17000022,V17000023,V17000024,V17000025,V17000026,V17000027,V17000028,V17000029,V17000030,V17000031,V17000032,V17000033,V17000034,V17000035,V17000036,V17000037,V17000038,V17000039,V17000040,V17000041,V17000042,V17000043,V17000044,V17000045,V17000046,V17000047,V17000048,V17000049,V17000050,V17000051,V17000052,V17000053,V17000054,V17000055,V17000056,V17000057,V17000058,V17000059,V17000060,V17000061,V17000062,V17000063,V17000064,V17000065,V17000066,V17000067,V17000068,V17000069,V17000070,V17000071,V17000072,V17000073,V17000074,V17000075,V17000076,V17000077,V17000078,V17000079,V17000080,V17000081,V17000082,V17000083,V17000084,V17000085,V17000086,V17000087,V17000088,V17000089,V17000090,V17000091,V17000092,V17000093,V17000094,V17000095,V17000096,V17000097,V17000098,V17000099,V17000100,V17000101,V17000102,V17000103,V17000104,V17000105,V17000106,V17000107,V17000108,V17000109,V17000110,V17000111,V17000112,V17000113,V17000114,V17000115,V17000116,V17000117,V17000118,V17000119,V17000120,V17000121,V17000122,V17000123,V17000124,V17000125,V17000126,V17000127,V17000128,V17000129,V17000130,V17000131,V17000132,V17000133,V17000134,V17000135,V17000136,V17000137,V17000138,V17000139,V17000140,V17000141,V17000142,V17000143,V17000144,V17000145,V17000146,V17000147,V17000148,V17000149,V17000150,V17000151,V17000152,V17000153,V17000154,V17000155,V17000156,V17000157,V17000158,V17000159,V17000160,V17000161,V17000162,V17000163,V17000164,V17000165,V17000166,V17000167
3544400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,6.0,3.0,158.0,375.0,17.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3544509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,8.0,4.0,322.0,828.0,21.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3544608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,7.0,346.0,541.0,30.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3544707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,5.0,2.0,107.0,448.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3544806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,8.0,11.0,465.0,976.0,21.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3544905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,4.0,38.0,898.0,1357.0,26.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3545001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,19.0,14.0,828.0,1568.0,75.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3545100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,7.0,4.0,251.0,577.0,17.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3545159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,6.0,8.0,523.0,960.0,14.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3545209,1.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,97.61,2.39,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,86.26,83.21,3.05,13.74,12.98,0.76,100.0,0.0,0.0,0.0,335.0,0.0,335.0,335.0,327.0,8.0,0.0,0.0,0.0,335.0,0.0,0.0,0.0,131.0,0.0,131.0,113.0,109.0,4.0,18.0,17.0,1.0,131.0,27423.05,335.0,0.012,0.0,0.0,0.0,11.0,16.0,0.0,5.0,61.0,104.0,112.0,6883.0,9949.0,153.0,2636.0,0.0,0.0,0.0,0.16,0.16,0.0,0.19,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,113.0,0.0,113.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,99.12,0.88,0.0,113.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1.0,0.0,100.0,100.0,92.04,7.08,0.88,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,113.0,104.0,8.0,1.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,2.65,97.35,0.0,0.0,0.0,0.0,113.0,113.0,3.0,110.0,0.0,0.0,0.0
