FID,DFITFS
InventarioFlorestal2001.156,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.157,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.158,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.159,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.160,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.161,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.162,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.163,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.164,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.165,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.166,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.167,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.168,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.169,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.170,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.171,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.172,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.173,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.174,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.175,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.176,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.177,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.178,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.179,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.180,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.181,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.182,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.183,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.184,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.185,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.186,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.187,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.188,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.189,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.190,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.191,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.192,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.193,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.194,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.195,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.196,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.197,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.198,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.199,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.200,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.201,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.202,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.203,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.204,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.205,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.206,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.207,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.208,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.209,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.210,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.211,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.212,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.213,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.214,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.215,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.216,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.217,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.218,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.219,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.220,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.221,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.222,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.223,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.224,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.225,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.226,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.227,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.228,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.229,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.230,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.231,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.232,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.233,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.234,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.235,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.236,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.237,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.238,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.239,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.240,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.241,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.242,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.243,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.244,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.245,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.246,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.247,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.248,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.249,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.250,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.251,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.252,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.253,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.254,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.255,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.256,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.257,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.258,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.259,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.260,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.261,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.262,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.263,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.264,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.265,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.266,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.267,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.268,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.269,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.270,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.271,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.272,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.273,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.274,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.275,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.276,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.277,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.278,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.279,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.280,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.281,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.282,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.283,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.284,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.285,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.286,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.287,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.288,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.289,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.290,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.291,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.292,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.293,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.294,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.295,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.296,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.297,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.298,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.299,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.300,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.301,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.302,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.303,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.304,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.305,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.306,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.307,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.308,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.309,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.310,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.311,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.312,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.313,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.314,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.315,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.316,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.317,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.318,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.319,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.320,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.321,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.322,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.323,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.324,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.325,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.326,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.327,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.328,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.329,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.330,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.331,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.332,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.333,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.334,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.335,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.336,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.337,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.338,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.339,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.340,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.341,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.342,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.343,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.344,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.345,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.346,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.347,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.348,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.349,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.350,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.351,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.352,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.353,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.354,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.355,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.356,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.357,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.358,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.359,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.360,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.361,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.362,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.363,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.364,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.365,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.366,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.367,Vegetação Secundária da Floresta Ombrófila Mista
